,ds,ts
0,0.0,0.05333333333333334
1,1.0,0.04666666666666667
2,2.0,0.08666666666666667
3,3.0,0.25333333333333335
4,4.0,1.64
5,5.0,1.8266666666666667
6,6.0,1.2333333333333334
7,7.0,0.76
8,8.0,0.06666666666666667
9,9.0,0.17333333333333334
10,10.0,0.006666666666666667
11,11.0,0.013333333333333334
12,12.0,0.013333333333333334
13,13.0,0.14
14,14.0,0.02
15,15.0,0.02
16,16.0,0.07333333333333333
17,17.0,0.3333333333333333
18,18.0,0.08
19,19.0,0.41333333333333333
20,20.0,0.17333333333333334
21,21.0,0.10666666666666667
22,22.0,0.3
23,23.0,0.4533333333333333
24,24.0,1.56
25,25.0,2.52
26,26.0,1.7733333333333334
27,27.0,0.3466666666666667
28,28.0,0.4066666666666667
29,29.0,0.16666666666666666
30,30.0,0.44
31,31.0,0.02
32,32.0,0.02666666666666667
33,33.0,0.06666666666666667
34,34.0,0.62
35,35.0,0.6133333333333333
36,36.0,0.46
37,37.0,0.28
38,38.0,0.52
39,39.0,1.36
40,40.0,1.7533333333333334
41,41.0,0.7866666666666666
42,42.0,0.6933333333333334
43,43.0,0.86
44,44.0,3.2666666666666666
45,45.0,3.42
46,46.0,3.6933333333333334
47,47.0,3.66
48,48.0,4.6466666666666665
49,49.0,4.793333333333333
50,50.0,3.08
51,51.0,3.0933333333333333
52,52.0,3.38
53,53.0,2.493333333333333
54,54.0,2.04
55,55.0,0.36
56,56.0,0.8333333333333334
57,57.0,1.3
58,58.0,1.52
59,59.0,0.7533333333333333
60,60.0,0.42
61,61.0,0.6733333333333333
62,62.0,0.94
63,63.0,0.6533333333333333
64,64.0,0.6266666666666667
65,65.0,1.8466666666666667
66,66.0,2.506666666666667
67,67.0,0.17333333333333334
68,68.0,0.20666666666666667
69,69.0,0.9266666666666666
70,70.0,0.8
71,71.0,1.7066666666666668
72,72.0,0.7133333333333334
73,73.0,1.02
74,74.0,0.8333333333333334
75,75.0,0.76
76,76.0,2.7466666666666666
77,77.0,2.8466666666666667
78,78.0,3.7733333333333334
79,79.0,3.973333333333333
80,80.0,3.6
81,81.0,4.006666666666667
82,82.0,4.426666666666667
83,83.0,3.88
84,84.0,4.126666666666667
85,85.0,2.7733333333333334
86,86.0,0.7866666666666666
87,87.0,0.14666666666666667
88,88.0,0.30666666666666664
89,89.0,0.4266666666666667
90,90.0,0.5866666666666667
91,91.0,0.94
92,92.0,1.3266666666666667
93,93.0,0.24
94,94.0,0.05333333333333334
95,95.0,0.30666666666666664
96,96.0,3.0533333333333332
97,97.0,4.806666666666667
98,98.0,3.64
99,99.0,1.6666666666666667
100,100.0,1.2533333333333334
101,101.0,0.37333333333333335
102,102.0,0.56
103,103.0,0.7533333333333333
